hash,Task,Condition,Order,Start,End,Word,TaskText,ResponseStart,ResponseEnd,ResponseFlag,ResponseLatency,ResponseDuration,isHrValid,isScValid,fHr1,fHr2,fHr3,fHr4,fHr5,fHr6,fHr7,fSc1,fSc2,fSc3,fSc4,fSc5,fSc6
55386,Reading,Pre,10,185,190,7,7,185.690044,186.556405,1,0.690044,0.866361000000012,1,1,0.0942000000000064,0.667444444444445,0.0380069438100161,0.0272694884440511,0.0399701345840333,1.03716113310995,0.0628107163673581,0.437379244691444,0.788027300058535,1,0.00727756709986593,0.0157073968637499,0.0263191944936685
55386,Reading,Pre,11,190,195,2,2,190.475657,191.176997,1,0.475657000000012,0.701339999999988,1,1,0.0653000000000021,0.718374999999998,0.0262294136964017,0.0273130005674842,0.0382379069101914,1.04446816079688,0.00708868700134599,2.5128754247444,0.788027300058535,1,0.00207771635636372,0.0234428541228205,-0.0160108536764239
55386,Reading,Pre,12,195,200,0,0,195.673823,196.540184,1,0.673822999999999,0.866361000000012,1,1,0.0661000000000002,0.722875000000002,0.0250624220697011,0.0374814239705079,0.0488419034627335,1.03770260747004,0.0241267197335408,0.656718209308195,3.58996898874864e-09,0,-0.00538637865100074,-0.00569784907611472,-0.00938317015533942
55386,Reading,Pre,13,200,205,6,6,200.789478,201.862116,1,0.789478000000003,1.07263799999998,1,1,0.0601999999999918,0.702000000000001,0.0255587558382606,0.0215522620622496,0.0316031242744281,0.958663883089777,-0.0192727962443456,0.12008606462074,7.9836940447553e-08,1,-0.00282420894367818,-0.00349808998140397,-0.000463573235480439
55386,Reading,Pre,14,205,210,3,3,205.698857,206.854005,1,0.698857000000004,1.155148,1,1,0.174399999999992,0.718500000000002,0.0689409685372708,0.0549116172980255,0.0705613210596735,1.17151492255383,0.0633383099217233,1.71857203450583,0.263373845221241,2,0.00253989980491806,0.00341135130745973,0.0258449546019343
55386,Reading,Pre,15,210,215,7,7,210.649492,211.557108,1,0.649492000000009,0.90761599999999,1,1,0.0847999999999927,0.751374999999999,0.0353631668749896,0.0179682259240316,0.0278206843800951,0.922904670505434,0.00116482831513457,2.52297414607903,6.51991474143188e-08,1,0.00267226877731199,-0.00992271171085154,-0.0118790182133686
55386,Reading,Pre,16,215,220,8,8,216.383976,217.126572,1,1.38397599999999,0.74259600000002,1,1,0.131400000000011,0.716374999999999,0.0483674551148399,0.0382155540510574,0.0495351850662539,1.0482487491065,0.0527387474794259,0.487632376287928,0.22354900945682,1,0.000862130312163715,0.00186241394232604,0.00506680213618188
55386,Reading,Pre,17,220,225,1,1,220.715782,221.664653,1,0.71578199999999,0.948870999999997,1,1,0.0826000000000107,0.755125,0.0321977705528124,0.0254838884675972,0.0402323017588481,0.934977578475344,-0.0331776052428895,0.560711332741238,0.22354900945682,1,0.00187385799693011,0.0103766117030207,-0.000178519181398172
55386,Reading,Pre,18,225,230,9,9,225.790182,226.532777,1,0.790181999999987,0.742595000000023,1,1,0.0718000000000074,0.741875,0.0292009662266793,0.0208840335458241,0.0263341462783874,1.07416643576246,0.0223197617767278,0.174526379825486,4.24777976126833e-08,2,0.0014789311665082,0.00390869921042438,-0.000378095414889963
55386,Reading,Pre,19,230,235,3,3,230.699561,231.31839,1,0.699560999999989,0.618829000000005,1,1,0.0554000000000059,0.760124999999999,0.0213437009777721,0.0150237906572939,0.021237690301655,0.96605237633366,-0.0157080954044056,0.0341450054808618,2.69016338337591e-08,1,-0.00476437743400587,-0.00432957241936901,-0.00644172053725575
55386,Reading,Pre,20,235,240,9,9,235.650195,236.39279,1,0.650194999999997,0.742594999999994,1,1,0.0475000000000052,0.717749999999999,0.0189190002756099,0.0259449967651313,0.0348066781414998,1.01898734177215,-0.00666387974723691,0.00644984278915902,1.03002011336839e-07,1,-0.006447791915339,-0.00450152756552882,-0.00708691508753754
